partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,elo_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,diff_set_ratio,diff_dominancia,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2025/2026_Cuneo_Veron_10Round,3,0.5,0.2211,0.7789,-0.5578000000000001,-248.7,0.4461,0.4887,-0.04260000000000003,0.4,0.6,-0.19999999999999996,1.8338,2.6912,0.0,-0.24520000000000003,-0.4905,0,2,-2,0.0,0,0
2025/2026_Cuneo_Veron_6Round,1,0.0,0.7474,0.25260000000000005,0.4947999999999999,158.5,0.4798,0.5,-0.020199999999999996,0.5385,0.4,0.13849999999999996,3.2554,2.2123,0.0,0.05890000000000001,0.1178,0,0,0,0.5,0,1
2025/2026_Cuneo_Veron_6Round,2,0.25,0.7474,0.25260000000000005,0.4947999999999999,158.5,0.4798,0.5,-0.020199999999999996,0.5385,0.4,0.13849999999999996,3.2554,2.2123,0.0,0.05890000000000001,0.1178,1,0,1,1.0,0,1
2025/2026_Cuneo_Veron_6Round,3,0.5,0.7474,0.25260000000000005,0.4947999999999999,158.5,0.4798,0.5,-0.020199999999999996,0.5385,0.4,0.13849999999999996,3.2554,2.2123,0.0,0.05890000000000001,0.1178,2,0,2,1.0,0,1
2025/2026_Fano_Lagon_13Round,1,0.0,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,0,0,0,0.5,0,0
2025/2026_Fano_Lagon_13Round,1,0.0,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,0,1,-1,0.0,0,1
2025/2026_Fano_Lagon_13Round,2,0.25,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,1,1,0,1.0,0,1
2025/2026_Fano_Lagon_13Round,2,0.25,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,2,1,1,1.0,0,0
2025/2026_Fano_Lagon_13Round,3,0.5,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,2,2,0,0.0,0,1
2025/2026_Fano_Lagon_13Round,3,0.5,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,3,2,1,1.0,0,1
2025/2026_Fano_Lagon_13Round,4,0.75,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,4,2,2,1.0,0,1
2025/2026_Fano_Lagon_13Round,5,1.0,0.3339,0.6661,-0.33220000000000005,-150.0,0.4166,0.5583,-0.1417,0.4667,0.4667,0.0,3.4136,4.8861,0.0,-0.0973,-0.1945,5,2,3,1.0,1,1
2025/2026_Fano_Macer_11Round,1,0.0,0.4374,0.5626,-0.12519999999999998,-73.8,0.4119,0.5246,-0.11269999999999997,0.4,0.4,0.0,2.598,4.1526,0.0,-0.08779999999999999,-0.17570000000000002,0,0,0,0.5,0,0
2025/2026_Fano_Macer_11Round,1,0.0,0.4374,0.5626,-0.12519999999999998,-73.8,0.4119,0.5246,-0.11269999999999997,0.4,0.4,0.0,2.598,4.1526,0.0,-0.08779999999999999,-0.17570000000000002,0,1,-1,0.0,0,1
2025/2026_Fano_Macer_11Round,2,0.25,0.4374,0.5626,-0.12519999999999998,-73.8,0.4119,0.5246,-0.11269999999999997,0.4,0.4,0.0,2.598,4.1526,0.0,-0.08779999999999999,-0.17570000000000002,1,1,0,1.0,0,1
2025/2026_Fano_Macer_11Round,2,0.25,0.4374,0.5626,-0.12519999999999998,-73.8,0.4119,0.5246,-0.11269999999999997,0.4,0.4,0.0,2.598,4.1526,0.0,-0.08779999999999999,-0.17570000000000002,2,1,1,1.0,0,1
2025/2026_Fano_Macer_11Round,3,0.5,0.4374,0.5626,-0.12519999999999998,-73.8,0.4119,0.5246,-0.11269999999999997,0.4,0.4,0.0,2.598,4.1526,0.0,-0.08779999999999999,-0.17570000000000002,3,1,2,1.0,0,1
2025/2026_Fano_Macer_11Round,3,0.5,0.4374,0.5626,-0.12519999999999998,-73.8,0.4119,0.5246,-0.11269999999999997,0.4,0.4,0.0,2.598,4.1526,0.0,-0.08779999999999999,-0.17570000000000002,4,1,3,1.0,0,1
