partido_id,temporada,jornada_num,local,visitante,h_win_rate_global,h_win_rate_last5,h_win_rate_home,h_win_rate_away,h_pts_fav_exp,h_pts_con_exp,h_set_win_rate,h_set_diff_exp,h_forma_home,h_forma_away,h_ultimo_set_diff,h_racha,h_h2h_set_diff_exp,h_h2h_win_rate,a_win_rate_global,a_win_rate_last5,a_win_rate_home,a_win_rate_away,a_pts_fav_exp,a_pts_con_exp,a_set_win_rate,a_set_diff_exp,a_forma_home,a_forma_away,a_ultimo_set_diff,a_racha,a_h2h_set_diff_exp,a_h2h_win_rate,diff_win_rate_global,diff_win_rate_last5,diff_set_win_rate,diff_set_diff_exp,diff_pts_fav_exp,diff_pts_con_exp,diff_racha,diff_ultimo_set_diff,diff_rank_season,diff_forma_efectiva,h_descanso,a_descanso,diff_descanso,h_rank_season,a_rank_season,elo_h,elo_a,elo_h_home,elo_a_away,elo_diff,elo_win_prob_h,set_ratio_h,set_ratio_a,point_ratio_h,point_ratio_a,dominancia_h,dominancia_a,diff_set_ratio,diff_dominancia,sos_h,sos_a,diff_sos,h_roster_continuity,a_roster_continuity,diff_roster_continuity,gana_local
2016/2017_Lube_Sir S_8Round,2016/2017,8,Lube,Perugia,1.0,1.0,1.0,1.0,21.2,20.8,0.8181818181818182,2.3333333333333335,0.6701230223067765,0.6701230223067765,0,3,0.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,20.8,21.2,0.4166666666666667,-0.6666666666666666,0.4279813055619755,0.4279813055619755,0,-2,0.0,0.5,0.6666666666666667,0.6666666666666667,0.40151515151515155,3.0,0.3999999999999986,-0.3999999999999986,5,0,0,0.24214171674480095,7,7,0,0,0,1548.3417868213776,1482.6934791974834,1608.3417868213776,1482.6934791974834,65.6483076238942,0.6733310417235898,0.8181818181818182,0.4166666666666667,0.5550660792951542,0.49171270718232046,0.31818181818181823,-0.08333333333333331,0.40151515151515155,0.40151515151515155,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Azimu_Gi Gr_9Round,2016/2017,9,Modena,Monza,1.0,1.0,1.0,1.0,20.75,24.25,0.8571428571428571,2.5,0.7128254112507413,0.7128254112507413,0,4,0.0,0.5,0.25,0.25,0.5,0.0,24.25,20.75,0.35714285714285715,-1.0,0.3852789166180106,0.3852789166180106,0,-2,0.0,0.5,0.75,0.75,0.49999999999999994,3.5,-3.5,3.5,6,0,0,0.32754649463273067,7,7,0,0,0,1563.08818455506,1465.7415876685243,1623.08818455506,1465.7415876685243,97.34659688653574,0.7121317079382955,0.8571428571428571,0.35714285714285715,0.5328244274809161,0.4848966613672496,0.3571428571428571,-0.14285714285714285,0.49999999999999994,0.49999999999999994,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Diate_Veron_9Round,2016/2017,9,Verona,Trento,0.6666666666666666,0.6666666666666666,1.0,0.5,19.0,25.0,0.5454545454545454,0.3333333333333333,0.5406735856029006,0.5406735856029006,0,-1,0.0,0.5,1.0,1.0,1.0,1.0,25.0,19.0,0.75,2.0,0.6701230223067765,0.6701230223067765,0,3,0.0,0.5,-0.33333333333333337,-0.33333333333333337,-0.20454545454545459,-1.6666666666666667,-6.0,6.0,-4,0,0,-0.12944943670387588,7,7,0,0,0,1515.2645556985028,1539.4838838169242,1575.2645556985028,1539.4838838169242,-24.219328118421345,0.551311253157877,0.5454545454545454,0.75,0.5060975609756098,0.5283018867924528,0.045454545454545414,0.25,-0.20454545454545459,-0.20454545454545459,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Emma _Sigma_9Round,2016/2017,9,Siena,Sigma Aversa,1.0,1.0,1.0,1.0,21.6,18.4,1.0,3.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,1.0,1.0,1.0,1.0,18.4,21.6,0.75,2.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,0.0,0.0,0.25,1.0,3.200000000000003,-3.200000000000003,0,0,0,0.0,7,7,0,0,0,1521.3121519036538,1518.8077731034512,1581.3121519036538,1518.8077731034512,2.5043788002026304,0.5889930179456475,1.0,0.75,0.5639097744360902,0.5297297297297298,0.5,0.25,0.25,0.25,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Kioen_Milan_9Round,2016/2017,9,Milano,Padova,0.0,0.0,0.0,0.0,24.75,20.5,0.0625,-2.8,0.24999999999999997,0.24999999999999997,0,-5,0.0,0.5,0.2,0.2,0.5,0.0,20.5,24.75,0.4,-0.8,0.3794494367038759,0.3794494367038759,0,1,0.0,0.5,-0.2,-0.2,-0.3375,-1.9999999999999998,4.25,-4.25,-6,0,0,-0.1294494367038759,7,7,0,0,0,1419.1132970084388,1466.2732252336887,1479.1132970084388,1466.2732252336887,-47.159928225249814,0.518469940696185,0.0625,0.4,0.44551724137931037,0.4873853211009174,-0.4375,-0.09999999999999998,-0.3375,-0.3375,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Diate_Lube_10Round,2016/2017,10,Trento,Lube,1.0,1.0,1.0,1.0,24.5,21.25,0.8,2.25,0.7128254112507413,0.7128254112507413,0,4,0.0,0.5,1.0,1.0,1.0,1.0,21.25,24.5,0.75,2.0,0.7128254112507413,0.7128254112507413,0,4,0.0,0.5,0.0,0.0,0.050000000000000044,0.25,3.25,-3.25,0,0,0,0.0,7,7,0,0,0,1559.551613431871,1557.488517653117,1619.551613431871,1557.488517653117,2.0630957787539046,0.58837793991249,0.8,0.75,0.5362537764350453,0.5391566265060241,0.30000000000000004,0.25,0.050000000000000044,0.050000000000000044,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Gi Gr_Sir S_10Round,2016/2017,10,Monza,Perugia,0.4,0.4,0.5,0.3333333333333333,18.333333333333332,25.0,0.4444444444444444,-0.4,0.4648542145918054,0.4648542145918054,0,1,0.0,0.5,0.25,0.25,0.5,0.0,25.0,18.333333333333332,0.4117647058823529,-0.75,0.3725793666371884,0.3725793666371884,0,-3,0.0,0.5,0.15000000000000002,0.15000000000000002,0.0326797385620915,0.35,-6.666666666666668,6.666666666666668,4,0,0,0.09227484795461705,7,7,0,0,0,1488.6722286641375,1473.546748365744,1548.6722286641375,1473.546748365744,15.12548029839354,0.606460231054449,0.4444444444444444,0.4117647058823529,0.4969097651421508,0.49269588313413015,-0.05555555555555558,-0.08823529411764708,0.0326797385620915,0.0326797385620915,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Azimu_Diate_11Round,2016/2017,11,Modena,Trento,0.8,0.8,0.6666666666666666,1.0,21.2,18.6,0.7222222222222222,1.6,0.6205505632961241,0.6205505632961241,0,-1,0.0,0.5,1.0,1.0,1.0,1.0,18.6,21.2,0.7894736842105263,2.2,0.75,0.75,0,5,0.0,0.5,-0.19999999999999996,-0.19999999999999996,-0.06725146198830412,-0.6000000000000001,2.599999999999998,-2.599999999999998,-6,0,0,-0.12944943670387588,7,7,0,0,0,1540.1575435594468,1572.8058437666887,1600.1575435594468,1572.8058437666887,-32.648300207241846,0.5392811446863811,0.7222222222222222,0.7894736842105263,0.5173652694610779,0.5360946745562131,0.2222222222222222,0.2894736842105263,-0.06725146198830412,-0.06725146198830412,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Lube_Veron_11Round,2016/2017,11,Lube,Verona,0.8,0.8,1.0,0.6666666666666666,25.0,17.333333333333332,0.65,1.2,0.6205505632961241,0.6205505632961241,0,-1,0.0,0.5,0.5,0.5,0.5,0.5,17.333333333333332,25.0,0.42857142857142855,-0.5,0.4706836945059403,0.4706836945059403,0,-2,0.0,0.5,0.30000000000000004,0.30000000000000004,0.22142857142857147,1.7,7.666666666666668,-7.666666666666668,1,0,0,0.14986686879018385,7,7,0,0,0,1544.2342873182993,1495.196826083556,1604.2342873182993,1495.196826083556,49.037461234743205,0.6519609728429042,0.65,0.42857142857142855,0.5230224321133412,0.49038461538461536,0.15000000000000002,-0.07142857142857145,0.22142857142857147,0.22142857142857147,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Diate_Gi Gr_12Round,2016/2017,12,Trento,Monza,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,20.6,20.2,0.7083333333333334,1.6666666666666667,0.6529129224720931,0.6529129224720931,0,-1,0.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.2,20.6,0.38095238095238093,-0.8333333333333334,0.4046790983634736,0.4046790983634736,0,-1,0.0,0.5,0.5,0.5,0.32738095238095244,2.5,0.40000000000000213,-0.40000000000000213,0,0,0,0.2482338241086195,7,7,0,0,0,1559.9057158179073,1466.5970762537556,1619.9057158179073,1466.5970762537556,93.30863956415169,0.7073432169996738,0.7083333333333334,0.38095238095238093,0.5229885057471264,0.48668796592119273,0.20833333333333337,-0.11904761904761907,0.32738095238095244,0.32738095238095244,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
