Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Szwarc Arthur,22,80,245.0,77.0,296.0,24.0,69.0,30.0,-15.0,24.0,2.0,8.0,9.0,375.0,29.0,333.0,29.0,28.0,188.0,565.0,48.0,33.0,41.0,,2020/2021,LT
Tillie Kevin,20,69,127.0,40.0,210.0,14.0,35.0,20.0,-10.0,301.0,20.0,124.0,102.0,339.0,27.0,283.0,24.0,28.0,103.0,364.0,28.0,10.0,14.0,,2020/2021,LT
Team Totals,22,80,1179.0,351.0,1684.0,87.0,371.0,109.0,-17.0,1590.0,148.0,733.0,380.0,239.0,15.0,2081.0,188.0,186.0,952.0,457.0,37.0,140.0,175.0,,2020/2021,LT
Cavaccini Domenico,18,73,,,,,,,,361.0,28.0,140.0,109.0,302.0,22.0,,,,,,,,,,2019/2020,LT
Elia Alberto,19,44,22.0,5.0,27.0,1.0,3.0,2.0,-7.0,,,,,,,28.0,,4.0,18.0,643.0,64.0,3.0,7.0,,2019/2020,LT
Karlitzek Moritz,19,65,153.0,58.0,165.0,17.0,44.0,26.0,-16.0,276.0,43.0,117.0,63.0,228.0,7.0,265.0,20.0,20.0,119.0,449.0,37.0,17.0,26.0,,2019/2020,LT
Onwuelo Samuel,11,17,6.0,5.0,21.0,4.0,4.0,24.0,,,,,,,,6.0,,2.0,2.0,333.0,33.0,,,,2019/2020,LT
Palacios Ezequiel,20,72,205.0,70.0,195.0,13.0,49.0,18.0,-18.0,395.0,31.0,209.0,63.0,159.0,8.0,377.0,20.0,21.0,175.0,464.0,41.0,17.0,24.0,,2019/2020,LT
Patry Jean,20,81,375.0,124.0,324.0,20.0,56.0,25.0,-11.0,4.0,1.0,1.0,1.0,250.0,,686.0,41.0,66.0,330.0,481.0,42.0,25.0,31.0,,2019/2020,LT
Peslac Milan,20,78,7.0,6.0,17.0,,5.0,,-29.0,,,,,,,8.0,1.0,,3.0,375.0,25.0,4.0,5.0,,2019/2020,LT
