Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
De Barros Ferreira Joao Rafael,23,85,254.0,75.0,312.0,13.0,51.0,15.0,-12.0,508.0,45.0,186.0,160.0,315.0,23.0,528.0,53.0,37.0,222.0,420.0,32.0,19.0,22.0,,2021/2022,TA
Di Martino Gabriele,24,90,174.0,59.0,315.0,5.0,29.0,6.0,-8.0,13.0,1.0,6.0,3.0,231.0,15.0,197.0,10.0,10.0,115.0,584.0,53.0,54.0,60.0,,2021/2022,TA
Dosanjh Arshdeep Singh,18,52,10.0,5.0,38.0,1.0,5.0,2.0,-11.0,,,,,,,7.0,1.0,,5.0,714.0,57.0,4.0,8.0,,2021/2022,TA
Falaschi Marco,22,82,35.0,16.0,282.0,7.0,30.0,9.0,-8.0,8.0,1.0,7.0,,,-12.0,26.0,,1.0,17.0,654.0,65.0,11.0,13.0,,2021/2022,TA
Freimanis Gustavs,2,2,,,,,,,,,,,,,,,,,,,,,,,2021/2022,TA
Gironi Fabrizio,21,45,69.0,24.0,89.0,6.0,24.0,13.0,-20.0,120.0,18.0,51.0,25.0,208.0,6.0,128.0,5.0,15.0,57.0,445.0,41.0,6.0,13.0,,2021/2022,TA
Laurenzano Gabriele,22,79,,,,,,,,410.0,32.0,148.0,143.0,349.0,27.0,,,,,,,,,,2021/2022,TA
Palonsky Luciano,9,25,30.0,8.0,47.0,,9.0,,-19.0,73.0,6.0,30.0,15.0,205.0,12.0,81.0,5.0,5.0,30.0,370.0,31.0,,,,2021/2022,TA
Pochini Filippo,16,43,,,,,,,,97.0,14.0,39.0,24.0,247.0,10.0,,,,,,,,,,2021/2022,TA
Randazzo Luigi,23,78,256.0,77.0,235.0,12.0,70.0,15.0,-25.0,503.0,45.0,228.0,124.0,247.0,16.0,509.0,26.0,49.0,227.0,446.0,39.0,17.0,22.0,,2021/2022,TA
Sabbi Giulio,19,59,221.0,66.0,175.0,7.0,59.0,12.0,-30.0,5.0,1.0,4.0,,,-20.0,421.0,44.0,55.0,190.0,451.0,35.0,24.0,41.0,,2021/2022,TA
Stefani Tommaso,20,59,190.0,56.0,144.0,5.0,40.0,8.0,-24.0,6.0,2.0,1.0,1.0,167.0,-17.0,309.0,27.0,24.0,162.0,524.0,44.0,23.0,39.0,,2021/2022,TA
Team Totals,24,90,1410.0,444.0,1952.0,70.0,343.0,78.0,-14.0,1754.0,166.0,703.0,500.0,285.0,19.0,2408.0,183.0,210.0,1141.0,474.0,40.0,199.0,221.0,,2021/2022,TA
