Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Team Totals,20,78,1216.0,390.0,1698.0,82.0,334.0,105.0,-15.0,1493.0,131.0,709.0,251.0,168.0,8.0,2020.0,147.0,174.0,977.0,484.0,41.0,157.0,201.0,,2019/2020,VV
Al Hachdadi Mohamed,26,98,515.0,130.0,338.0,24.0,96.0,24.0,-21.0,4.0,,3.0,,,,966.0,90.0,70.0,467.0,483.0,39.0,24.0,24.0,,2018/2019,VV
Barreto Silva Carlos Eduardo,25,71,134.0,35.0,164.0,8.0,34.0,11.0,-16.0,401.0,33.0,185.0,85.0,212.0,13.0,291.0,24.0,14.0,114.0,392.0,31.0,12.0,17.0,,2018/2019,VV
Cappio Paolo,3,5,,,,,,,,8.0,,2.0,2.0,250.0,25.0,,,,,,,,,,2018/2019,VV
Domagala Damian,9,14,12.0,2.0,13.0,,2.0,,-15.0,,,,,,,22.0,3.0,3.0,11.0,500.0,36.0,1.0,7.0,,2018/2019,VV
Lopez Tomas,17,49,20.0,3.0,33.0,,9.0,,-27.0,88.0,8.0,29.0,30.0,341.0,25.0,51.0,3.0,8.0,19.0,373.0,31.0,1.0,2.0,,2018/2019,VV
Marra Davide,25,95,,,,,,,,471.0,37.0,225.0,113.0,240.0,16.0,,,,,,,,,,2018/2019,VV
Marsili Sebastiano,25,65,3.0,3.0,99.0,2.0,11.0,3.0,-9.0,,,,,,,2.0,,1.0,,,,1.0,2.0,,2018/2019,VV
Mengozzi Stefano,26,95,185.0,64.0,270.0,3.0,32.0,3.0,-11.0,20.0,1.0,13.0,3.0,150.0,10.0,215.0,11.0,18.0,117.0,544.0,49.0,65.0,68.0,,2018/2019,VV
Presta Luca,11,21,11.0,3.0,41.0,,3.0,,-7.0,5.0,1.0,2.0,1.0,200.0,,17.0,3.0,,7.0,412.0,24.0,4.0,19.0,,2018/2019,VV
Skrimov Todor,26,93,277.0,101.0,342.0,45.0,97.0,48.0,-15.0,542.0,53.0,207.0,159.0,293.0,20.0,477.0,44.0,37.0,219.0,459.0,37.0,13.0,14.0,,2018/2019,VV
Strohbach Tom,22,79,127.0,40.0,191.0,10.0,54.0,13.0,-23.0,350.0,34.0,129.0,97.0,277.0,18.0,274.0,29.0,31.0,105.0,383.0,28.0,12.0,15.0,,2018/2019,VV
Vitelli Marco,26,95,143.0,48.0,304.0,16.0,71.0,17.0,-18.0,32.0,4.0,4.0,18.0,562.0,44.0,177.0,7.0,11.0,96.0,542.0,50.0,31.0,33.0,,2018/2019,VV
Zhukouski Tsimafei,25,94,65.0,35.0,312.0,19.0,74.0,20.0,-18.0,9.0,5.0,4.0,,,-56.0,44.0,3.0,3.0,27.0,614.0,55.0,19.0,20.0,,2018/2019,VV
Team Totals,26,99,1492.0,464.0,2107.0,127.0,483.0,128.0,-17.0,1930.0,176.0,803.0,508.0,263.0,17.0,2536.0,217.0,196.0,1182.0,466.0,38.0,183.0,185.0,,2018/2019,VV
Antonov Oleg,18,68,232.0,80.0,241.0,22.0,58.0,32.0,-15.0,402.0,33.0,173.0,107.0,266.0,18.0,419.0,42.0,40.0,192.0,458.0,36.0,18.0,26.0,,2017/2018,VV
Corrado Francesco,6,8,6.0,3.0,13.0,2.0,2.0,25.0,,28.0,5.0,14.0,3.0,107.0,-7.0,15.0,2.0,1.0,4.0,267.0,13.0,,,,2017/2018,VV
Coscione Manuel,25,95,47.0,28.0,317.0,17.0,27.0,18.0,-3.0,8.0,3.0,5.0,,,-37.0,29.0,2.0,2.0,12.0,414.0,34.0,18.0,19.0,,2017/2018,VV
Costa Deivid Junior,26,92,175.0,56.0,262.0,15.0,42.0,16.0,-10.0,17.0,2.0,12.0,1.0,59.0,-6.0,215.0,13.0,13.0,123.0,572.0,51.0,37.0,40.0,,2017/2018,VV
Domagala Damian,23,57,101.0,24.0,104.0,6.0,25.0,11.0,-18.0,2.0,2.0,,,,-100.0,214.0,22.0,23.0,90.0,421.0,32.0,5.0,9.0,,2017/2018,VV
Felix Jr Sergio Luiz,5,16,26.0,8.0,37.0,4.0,9.0,25.0,-14.0,65.0,8.0,31.0,17.0,262.0,14.0,60.0,7.0,9.0,21.0,350.0,23.0,1.0,6.0,,2017/2018,VV
Izzo Marco,26,87,8.0,6.0,60.0,1.0,7.0,1.0,-10.0,1.0,1.0,,,,-100.0,4.0,,,2.0,500.0,50.0,5.0,6.0,,2017/2018,VV
Lecat Francois,26,92,203.0,77.0,262.0,17.0,45.0,18.0,-11.0,488.0,51.0,217.0,101.0,207.0,10.0,401.0,26.0,41.0,169.0,421.0,36.0,17.0,18.0,,2017/2018,VV
Marra Davide,26,102,,,,,,,,526.0,34.0,217.0,140.0,266.0,20.0,,,,,,,,,,2017/2018,VV
Massari Jacopo,26,86,136.0,37.0,164.0,6.0,51.0,7.0,-27.0,363.0,25.0,147.0,102.0,281.0,21.0,295.0,30.0,22.0,119.0,403.0,30.0,11.0,13.0,,2017/2018,VV
Patch Benjamin,26,88,296.0,72.0,244.0,11.0,82.0,12.0,-29.0,6.0,3.0,2.0,,,-50.0,587.0,57.0,63.0,258.0,440.0,34.0,27.0,31.0,,2017/2018,VV
Presta Luca,24,61,48.0,16.0,108.0,5.0,14.0,8.0,-8.0,1.0,1.0,,,,-100.0,53.0,2.0,2.0,34.0,642.0,60.0,9.0,15.0,,2017/2018,VV
Torchia Ernesto,5,8,,,,,,,,4.0,,2.0,1.0,250.0,25.0,,,,,,,,,,2017/2018,VV
Verhees Pieter,26,96,204.0,74.0,311.0,14.0,68.0,15.0,-17.0,13.0,1.0,4.0,2.0,154.0,8.0,257.0,9.0,19.0,137.0,533.0,50.0,53.0,55.0,,2017/2018,VV
Team Totals,26,101,1482.0,481.0,2123.0,120.0,430.0,119.0,-15.0,1924.0,169.0,824.0,474.0,246.0,16.0,2549.0,212.0,235.0,1161.0,455.0,37.0,201.0,199.0,,2017/2018,VV
Alves Soares Thiago,23,64,57.0,17.0,86.0,1.0,30.0,2.0,-34.0,207.0,24.0,89.0,46.0,222.0,11.0,120.0,9.0,14.0,53.0,442.0,37.0,3.0,5.0,,2016/2017,VV
Barone Rocco,26,93,152.0,49.0,290.0,8.0,29.0,9.0,-7.0,9.0,3.0,3.0,3.0,333.0,,190.0,8.0,14.0,105.0,553.0,51.0,39.0,42.0,,2016/2017,VV
Barreto Silva Carlos Eduardo,25,96,317.0,125.0,327.0,36.0,74.0,37.0,-12.0,625.0,65.0,281.0,156.0,250.0,15.0,603.0,54.0,52.0,260.0,431.0,34.0,21.0,22.0,,2016/2017,VV
Corrado Francesco,2,4,1.0,1.0,9.0,,3.0,,-33.0,8.0,2.0,3.0,1.0,125.0,-12.0,5.0,1.0,,1.0,200.0,,,,,2016/2017,VV
Coscione Manuel,25,98,62.0,38.0,342.0,19.0,27.0,19.0,-2.0,12.0,5.0,7.0,,,-42.0,35.0,4.0,1.0,18.0,514.0,40.0,25.0,26.0,,2016/2017,VV
Costa Deivid Junior,24,82,164.0,54.0,231.0,8.0,24.0,10.0,-7.0,7.0,3.0,2.0,1.0,143.0,-29.0,206.0,13.0,15.0,118.0,573.0,51.0,38.0,46.0,,2016/2017,VV
Diamantini Enrico,26,89,99.0,39.0,201.0,8.0,18.0,9.0,-5.0,9.0,,6.0,,,,109.0,7.0,7.0,63.0,578.0,51.0,28.0,31.0,,2016/2017,VV
Geiler Baptiste,26,97,232.0,91.0,388.0,40.0,49.0,41.0,-2.0,490.0,42.0,179.0,155.0,316.0,23.0,467.0,28.0,42.0,171.0,366.0,31.0,21.0,22.0,,2016/2017,VV
Izzo Marco,11,25,4.0,4.0,45.0,1.0,3.0,4.0,-4.0,,,,,,,2.0,,,1.0,500.0,50.0,2.0,8.0,,2016/2017,VV
Maccarone Graziano,3,3,,,,,,,,,,,,,,,,,,,,,,,2016/2017,VV
Marra Davide,26,103,,,,,,,,592.0,41.0,258.0,187.0,316.0,25.0,1.0,,,,,,,,,2016/2017,VV
Michalovic Peter,23,76,253.0,73.0,199.0,13.0,50.0,17.0,-19.0,2.0,,1.0,1.0,500.0,50.0,510.0,35.0,64.0,219.0,429.0,36.0,21.0,28.0,,2016/2017,VV
Rejlek Filip,17,50,226.0,55.0,166.0,13.0,52.0,26.0,-23.0,1.0,1.0,,,,-100.0,403.0,28.0,45.0,204.0,506.0,44.0,9.0,18.0,,2016/2017,VV
Torchia Ernesto,1,1,,,,,,,,,,,,,,,,,,,,,,,2016/2017,VV
Team Totals,26,103,1567.0,546.0,2284.0,147.0,359.0,143.0,-9.0,1962.0,186.0,829.0,550.0,280.0,19.0,2651.0,187.0,254.0,1213.0,458.0,39.0,207.0,201.0,,2016/2017,VV
